timestamp,temp_c,util_pct,sm_mhz,mem_mhz,power_w,throttle
2026/06/28 23:18:33.962, 57, 98 %, 3202 MHz, 15598 MHz, 297.02 W, 0x0000000000000000
2026/06/28 23:18:39.025, 58, 98 %, 3202 MHz, 15598 MHz, 299.77 W, 0x0000000000000000
2026/06/28 23:18:44.093, 53, 91 %, 3202 MHz, 15598 MHz, 290.25 W, 0x0000000000000000
2026/06/28 23:18:49.158, 57, 98 %, 3202 MHz, 15598 MHz, 295.79 W, 0x0000000000000000
2026/06/28 23:18:54.216, 56, 98 %, 3202 MHz, 15598 MHz, 293.21 W, 0x0000000000000000
2026/06/28 23:18:59.278, 57, 98 %, 3202 MHz, 15598 MHz, 294.82 W, 0x0000000000000000
2026/06/28 23:19:04.364, 57, 98 %, 3202 MHz, 15598 MHz, 297.91 W, 0x0000000000000000
2026/06/28 23:19:09.428, 57, 98 %, 3202 MHz, 15598 MHz, 296.64 W, 0x0000000000000000
2026/06/28 23:19:14.485, 57, 97 %, 3202 MHz, 15598 MHz, 293.50 W, 0x0000000000000000
2026/06/28 23:19:19.545, 58, 96 %, 3202 MHz, 15598 MHz, 283.01 W, 0x0000000000000000
2026/06/28 23:19:24.613, 57, 96 %, 3202 MHz, 15598 MHz, 290.10 W, 0x0000000000000000
2026/06/28 23:19:29.678, 58, 95 %, 3195 MHz, 15598 MHz, 296.37 W, 0x0000000000000000
2026/06/28 23:19:34.740, 57, 96 %, 3202 MHz, 15598 MHz, 278.62 W, 0x0000000000000000
2026/06/28 23:19:39.810, 55, 97 %, 3202 MHz, 15598 MHz, 268.25 W, 0x0000000000000000
2026/06/28 23:19:44.871, 56, 98 %, 3202 MHz, 15598 MHz, 285.79 W, 0x0000000000000000
2026/06/28 23:19:49.937, 55, 98 %, 3202 MHz, 15598 MHz, 271.76 W, 0x0000000000000000
2026/06/28 23:19:54.993, 55, 97 %, 3202 MHz, 15598 MHz, 279.50 W, 0x0000000000000000
2026/06/28 23:20:00.063, 56, 96 %, 3202 MHz, 15598 MHz, 280.00 W, 0x0000000000000000
2026/06/28 23:20:05.127, 56, 93 %, 3202 MHz, 15598 MHz, 269.20 W, 0x0000000000000000
2026/06/28 23:20:10.200, 56, 95 %, 3195 MHz, 15598 MHz, 288.98 W, 0x0000000000000000
2026/06/28 23:20:15.269, 57, 93 %, 3202 MHz, 15598 MHz, 280.62 W, 0x0000000000000000
2026/06/28 23:20:20.325, 56, 80 %, 3202 MHz, 15598 MHz, 266.14 W, 0x0000000000000000
2026/06/28 23:20:25.386, 57, 93 %, 3202 MHz, 15598 MHz, 277.63 W, 0x0000000000000000
2026/06/28 23:20:30.441, 56, 92 %, 3202 MHz, 15598 MHz, 274.33 W, 0x0000000000000000
2026/06/28 23:20:35.497, 58, 98 %, 3202 MHz, 15598 MHz, 289.15 W, 0x0000000000000000
2026/06/28 23:20:40.562, 57, 96 %, 3202 MHz, 15598 MHz, 282.84 W, 0x0000000000000000
2026/06/28 23:20:45.634, 56, 98 %, 3202 MHz, 15598 MHz, 278.96 W, 0x0000000000000000
2026/06/28 23:20:50.697, 59, 96 %, 3195 MHz, 15598 MHz, 297.12 W, 0x0000000000000000
2026/06/28 23:20:55.762, 58, 97 %, 3202 MHz, 15598 MHz, 298.84 W, 0x0000000000000000
2026/06/28 23:21:00.822, 57, 93 %, 3195 MHz, 15598 MHz, 302.30 W, 0x0000000000000000
2026/06/28 23:21:05.897, 56, 91 %, 3195 MHz, 15598 MHz, 266.72 W, 0x0000000000000000
2026/06/28 23:21:10.963, 56, 95 %, 3195 MHz, 15598 MHz, 275.84 W, 0x0000000000000000
